Field Name,Number Non-PA Wells,INJ Types (All),"Water Cut, %","GOR, Mscf/BO","Daily Liquid Rate, bpd","Daily Gas Rate, Mscfpd",Type,Status,Lat,Lon,EOR_Technology,INJ Type
BALLARD,732,,86.2244898,2879.901235,18.96774194,7524.903226,Gas,Active,36.29012113,-107.3172815,,UNKNOWN
EAST,34,SALT WATER,99.94121105,2725,54.87096774,87.90322581,Gas,Active,26.93117738,-98.72211799,,WATER
SONORA,897,SALT WATER,98.75590943,2682.84,129.6451613,4327.16129,Gas,Active,30.62602882,-100.6648248,,WATER
RIFE,89,,96.63865546,2336.5,3.838709677,301.483871,Gas,Active,32.88284017,-98.33734783,,UNKNOWN
EXSUN,248,SALT WATER,99.95474712,2096.312169,13472.67742,12780.74194,Gas,Active,26.93072376,-99.25839381,,WATER
"MORSE, SW",124,SALT WATER,99.95089402,2049.764706,1116.741935,1124.064516,Gas,Active,36.0437473,-101.5667674,,WATER
ZONE 21-B TREND,403,SALT WATER,94.93087558,2003.363636,7,710.8709677,Gas,Active,27.40902364,-98.04107542,,WATER
"ROMA, EAST",35,SALT WATER,99.33774834,1999.166667,29.22580645,386.9354839,Gas,Active,26.45456871,-99.01818311,,WATER
CHARCO,421,,99.40425727,1964.05,1407.83871,16472.67742,Gas,Active,27.07059598,-99.14823682,,UNKNOWN
DRAGON TRAIL,334,WATER,89.61038961,1819.910714,17.38709677,3287.580645,Gas,Active,39.86128053,-108.8372318,,WATER
ROCKY CREEK,66,SALT WATER,98.76126126,1807.090909,57.29032258,1282.451613,Gas,Active,29.12850662,-98.70577692,CO2,WATER
ANGEL RANCH,31,,93.51145038,1684.588235,8.451612903,923.8064516,Gas,Active,32.6321887,-104.2363711,,UNKNOWN
CALVERT,76,SALT WATER,99.69604863,1654,53.06451613,266.7741935,Gas,Active,31.13688307,-96.83245835,,WATER
TOCITO DOME,74,WATER,0,1620,0.387096774,627.0967742,Gas,Active,36.47952813,-108.7534159,,WATER
PINON,886,"SALT WATER, WATER",99.22497162,1609.240088,3779.258065,47135.16129,Gas,Active,31.000013,-103.2548974,,WATER
HILLTOP RESORT,140,SALT WATER,95.92546104,1559.900474,334.0967742,21234.77419,Gas,Active,31.07826104,-96.22480904,,WATER
HEREFORD,155,"SALT WATER, WATER",97.86324786,1557.4,7.548387097,251.1935484,Gas,Active,39.49030928,-103.8787321,,WATER
"CANADIAN, NW",39,,88.13559322,1517.142857,1.903225806,342.5806452,Gas,Active,35.97747964,-100.4390842,,UNKNOWN
PLATEAU,514,WATER,97.65538946,1485.818792,410,14283.03226,Gas,Active,39.21424378,-107.9435332,,WATER
"GLEN COVE, S.",59,,97.93814433,1417,3.129032258,91.41935484,Gas,Active,31.83613127,-99.62487701,,UNKNOWN
SEALY,48,,94.51219512,1366.666667,10.58064516,793.5483871,Gas,Active,29.76909457,-96.20268772,,UNKNOWN
GOMEZ,287,SALT WATER,96.92643392,1339.423935,517.4193548,21301.16129,Gas,Active,30.81940877,-102.1671745,,WATER
BAXTER PASS,121,WATER,0,1326.157895,0.612903226,812.8064516,Gas,Active,39.69456839,-108.9994525,Surfactant,WATER
KUTZ,465,,98.21324205,1260.415888,386.3548387,8700.935484,Gas,Active,36.62715055,-108.0703261,,UNKNOWN
MONROE,9877,"SALT WATER, ",74.70930233,1235.735632,11.09677419,3468.032258,Gas,Active,32.74667019,-92.15312058,,WATER
BORCHERS,283,SALT WATER,96.78714859,1225.5625,16.06451613,632.5483871,Gas,Active,29.6823846,-97.06353,,WATER
STRAWN,42,,99.92458116,1149.5,598.8064516,519.1290323,Gas,Active,32.66091019,-98.49056486,,UNKNOWN
CREE-FLOWERS,43,,98.23754789,1118.869565,42.09677419,830.1290323,Gas,Active,35.86975649,-100.7670871,,UNKNOWN
APACHE,85,"SALT WATER, WATER",70,1098.333333,0.322580645,106.2903226,Gas,Active,35.13041816,-98.62319204,Polymer,WATER
"CLEMENS, N.",23,,88.23529412,1097,1.096774194,141.5483871,Gas,Active,28.99913652,-95.55142886,,UNKNOWN
ROCK HOUSE,63,,94.78908189,1092.952381,13,740.3870968,Gas,Active,39.63350772,-108.9746449,,UNKNOWN
TRAWICK,452,SALT WATER,98.86914378,1076.688172,1857,22610.45161,Gas,Active,31.79811756,-94.76110595,,WATER
BIRDSONG,25,SALT WATER,99.90478004,1045.6,169.3870968,168.6451613,Gas,Active,32.64497859,-98.55051588,,WATER
BAR X,86,WATER,77.04081633,962.0888889,6.322580645,1396.580645,Gas,Active,39.33643908,-109.0483517,,WATER
SWEET WATER NW,39,SALT WATER,0,948.875,0.516129032,489.7419355,Gas,Active,35.46582065,-99.93763379,,WATER
CARPENTER,421,SALT WATER,0,944.0168067,15.35483871,14495.22581,Gas,Active,35.74901943,-99.42978346,,WATER
"SANTELLANA, SOUTH",59,SALT WATER,99.4933749,934.8461538,82.77419355,392.0322581,Gas,Active,26.54698537,-98.22561127,,WATER
DYNAMIC,23,SALT WATER,94.68186135,912.9821429,33.96774194,1649.258065,Gas,Active,29.37376196,-96.22177197,,WATER
RICKELS,73,SALT WATER,99.86087924,903.52,579.6774194,728.6451613,Gas,Active,32.92015671,-98.7290305,,WATER
PARACHUTE,2413,WATER,97.24602203,880.0835821,10594.64516,256785.6774,Gas,Active,39.45389492,-108.0060155,,WATER
"JAMESON, SW.",21,SALT WATER,80,860,0.161290323,27.74193548,Gas,Active,31.91705041,-100.8842785,,WATER
BASHARA-HEREFORD,179,SALT WATER,98.50562696,823.399177,524.5483871,6454.387097,Gas,Active,27.32755879,-99.40264906,,WATER
"MINERAL WELLS, N.",66,SALT WATER,97.84482759,789,14.96774194,254.516129,Gas,Active,32.91883334,-98.16439551,,WATER
RICHEY,38,SALT WATER,76.92307692,772.3333333,0.419354839,74.74193548,Gas,Active,37.94775825,-101.2245889,,WATER
BASIN,13348,,97.25258291,726.8506895,40442.67742,807624.9032,Gas,Active,36.69496622,-107.7511071,,UNKNOWN
HEARD RANCH,146,SALT WATER,87.91500664,717.8241758,24.29032258,2107.16129,Gas,Active,28.30809718,-97.57922728,,WATER
BEAR GRASS,788,,98.63286813,712.8933532,4756.83871,46361.06452,Gas,Active,31.4083512,-96.22569023,,UNKNOWN
OLETHA,123,SALT WATER,99.46046347,709.8114754,729.4193548,2793.451613,Gas,Active,31.42508699,-96.40530133,,WATER
BUZZARD CREEK,361,WATER,96.52844744,707.4201389,1070.451613,26288.64516,Gas,Active,39.25801706,-107.7312764,,WATER
LAS OVEJAS,65,SALT WATER,94.64099896,688.0097087,62,2285.967742,Gas,Active,27.22877373,-99.15599795,,WATER
VERMEJO,44,SALT WATER,95.32195927,687.9058824,58.61290323,1886.193548,Gas,Active,31.65965306,-103.5462062,,WATER
WESLACO SOUTH,47,SALT WATER,74.81481481,684.8235294,4.35483871,751.0967742,Gas,Active,26.13307119,-98.0329238,,WATER
GRAND VALLEY,4752,WATER,97.9746714,681.3388578,33635.32258,464145.6129,Gas,Active,39.50808098,-108.1294149,,WATER
LA BLANCA,66,,95.93495935,677.5,23.80645161,655.6451613,Gas,Active,26.31565831,-98.04610471,,UNKNOWN
CINCO DE MAYO,118,,98.85212694,676,47.77419355,370.7096774,Gas,Active,26.89376701,-99.13914367,,UNKNOWN
"PANHANDLE, WEST",4401,SALT WATER,79.80168319,668.6934818,387.1290323,52287.51613,Gas,Active,35.66744,-101.6312168,,WATER
CD NABORS,15,SALT WATER,96.19377163,662.4545455,9.322580645,235.0645161,Gas,Active,26.57758231,-98.46030842,,WATER
MORRISON RANCH,106,SALT WATER,97.73340529,658.6190476,59.77419355,892.3225806,Gas,Active,36.0066215,-100.6761048,,WATER
CHEYENNE WEST,315,SALT WATER,0,635.7602649,24.35483871,15483.83871,Gas,Active,35.58691866,-99.68820655,,WATER
LAREDO,299,,97.70505737,633.0524691,455.4193548,6616.419355,Gas,Active,33.17649012,-102.3835536,,UNKNOWN
MABEN,75,SALT WATER,72.41586538,630.6405229,53.67741935,9337.548387,Gas,Active,33.41122235,-97.52253742,,WATER
PERSONVILLE N,293,SALT WATER,98.3438822,605.1683168,983.6451613,9858.387097,Gas,Active,31.47753956,-96.43617519,,WATER
LOS INDIOS,137,SALT WATER,98.44789357,587.2142857,29.09677419,265.1935484,Gas,Active,26.63773289,-98.15817811,,WATER
FONTENELLE,375,WATER,88.11343747,584.2479031,291.1935484,20222.51613,Gas,Active,42.16805678,-110.1092024,,WATER
MANNING-OCONNOR,54,SALT WATER,88.88888889,581,0.290322581,18.74193548,Gas,Active,32.54773246,-99.04154894,,WATER
PICEANCE CREEK,1035,WATER,95.58700165,577.4934716,3806.935484,97018.90323,Gas,Active,39.89389972,-108.241145,,WATER
CADENA,72,,0,565,0.032258065,18.22580645,Gas,Active,27.76270294,-98.33091573,,UNKNOWN
BEAR CREEK,830,"WATER, SALT WATER, GAS",93.93478405,560.3282443,487.7096774,16574.87097,Gas,Active,36.54567945,-92.36731405,,WATER
"SMILEY, SE",39,,81.63265306,558,1.580645161,162,Gas,Active,29.24336049,-97.62391952,,UNKNOWN
BLANCO,12270,"GAS, WATER",81.57266719,540.4372013,6447.645161,642109.129,Gas,Active,36.70053638,-107.5888038,,WATER
BUZZARD,41,,98.79763368,535.485623,839.7419355,5406.677419,Gas,Active,38.88477533,-107.519946,,UNKNOWN
"NEWARK, EAST",20566,"AIR, SALT WATER, SALT WATER,FRAC FLUID",96.53418296,520.5465877,8960.322581,161654.9032,Gas,Active,32.89143942,-97.47467325,,WATER
HIGGINS W.,72,SALT WATER,71.42857143,515.75,0.451612903,66.5483871,Gas,Active,36.07971702,-100.2608248,,WATER
LAMBERT SE,301,"SALT WATER, WATER",0,507.5590062,5.193548387,2636.032258,Gas,Active,36.64151994,-98.3336916,,WATER
VIKING,21,,92.14175655,500.6666667,20.93548387,823.6774194,Gas,Active,42.81688348,-101.9306496,,UNKNOWN
T. C. I.,50,SALT WATER,0,497.7142857,0.225806452,112.3870968,Gas,Active,31.27352262,-102.6859177,,WATER
FOUR J,22,,97.07207207,495.0769231,14.32258065,207.6129032,Gas,Active,32.65043986,-98.89225682,,UNKNOWN
MINERAL WELLS S.,139,SALT WATER,91.24423963,474.3157895,7,290.7096774,Gas,Active,32.75733785,-98.11251868,,WATER
HIAWATHA WEST,267,WATER,23.23308271,472.7296768,42.90322581,15569.58065,Gas,Active,40.97901113,-108.6852248,,WATER
BRUSH CREEK,623,WATER,96.02337425,466.4738829,2577.967742,47821.09677,Gas,Active,39.50733296,-106.3983803,,WATER
REED,138,SALT WATER,98.38306823,463.398374,245.3870968,1838.645161,Gas,Active,32.94381649,-97.3399295,,WATER
ALKALI CREEK,413,SALT WATER,93.86869235,460.8451327,118.9032258,3359.709677,Gas,Active,46.49058059,-103.6438662,,WATER
UNDERWOOD-RAY,15,SALT WATER,96.13259669,443.1428571,5.838709677,100.0645161,Gas,Active,33.64140972,-97.97489046,,WATER
LUCKY,177,,91.44861585,442.3813747,170.1290323,6435.935484,Gas,Active,31.19751221,-94.03681311,,UNKNOWN
CLINTON,236,SALT WATER,33.84615385,439.9883721,4.193548387,1220.612903,Gas,Active,36.3739854,-89.52150422,,WATER
RULISON,2484,"WATER, GAS,WATER",94.94081914,431.3864393,10917.87097,238278.3871,Gas,Active,39.49465345,-107.8779444,Polymer,WATER
TWITCHELL,42,SALT WATER,92.43697479,429.4444444,3.838709677,124.6774194,Gas,Active,36.4438799,-100.769847,,WATER
"HEYSER ,EAST",33,,79.31034483,427,2.806451613,247.9354839,Gas,Active,28.63993392,-96.84954714,,UNKNOWN
YELLOW CREEK,240,WATER,99.18356107,426.0853175,3982.677419,13854.64516,Gas,Active,39.93411757,-95.77896054,,WATER
STRONG CITY DISTRICT,1223,SALT WATER,0,421.8027562,149.8064516,63188.77419,Gas,Active,35.6938007,-99.53601513,,WATER
RIVERTON DOME,113,WATER,85.7615894,421.6860465,19.48387097,1169.83871,Gas,Active,42.94476119,-108.3245159,,WATER
FABIAN DITCH,133,WATER,65.21091811,421.2097004,65,9524.774194,Gas,Active,41.67021548,-110.0276112,,WATER
ROLETA,434,,99.49797619,419.0177665,7595.064516,15976.74194,Gas,Active,26.79505282,-99.1895944,,UNKNOWN
TRAIL UNIT,158,WATER,89.29379444,416.9845283,798.4516129,35645.45161,Gas,Active,41.11046049,-108.6567845,,WATER
GRAFORD,84,SALT WATER,96.58536585,409.2857143,13.22580645,184.8387097,Gas,Active,32.96854711,-98.20749872,,WATER
PICKWICK,100,SALT WATER,94.40203562,403.8636364,12.67741935,286.6129032,Gas,Active,32.93341499,-98.37999572,,WATER
FLORA VISTA,63,WATER,90.28716216,392.3130435,38.19354839,1455.354839,Gas,Active,36.82700816,-108.1092081,,WATER
"BIG HILL, NW.",17,,88.0952381,382.8,1.35483871,61.74193548,Gas,Active,29.79302238,-94.26432856,,UNKNOWN
"WOODLAWN, S. W.",66,SALT WATER,99.10057236,381.3863636,157.8064516,541.3225806,Gas,Active,32.54368369,-94.46323458,,WATER
JOAQUIN,312,"SALT WATER, SALT WATER,FRAC FLUID",99.53085529,380.0541311,4826.903226,8606.387097,Gas,Active,31.95557146,-94.03861676,,WATER
CUMMING,57,SALT WATER,99.17608286,378.3571429,274.0645161,854.3548387,Gas,Active,32.67018263,-98.58486082,,WATER
TOTO,194,,96.73247107,377.1041667,47.38709677,583.9032258,Gas,Active,32.93546924,-97.84287339,,UNKNOWN
BURTON,356,WATER,69.81769075,368.2505593,47.77419355,5309.935484,Gas,Active,36.70356382,-101.8088308,,WATER
TRAIL RIDGE,360,WATER,95.86087365,366.0136622,4392.387097,66543.64516,Gas,Active,39.62715819,-108.2664985,,WATER
WHITNEY CANYON-CARTER CREEK,101,WATER,53.28003762,359.5440362,137.1935484,23045.6129,Gas,Active,41.52715804,-110.9144168,,WATER
SKINNER RIDGE,278,WATER,97.20194106,354.5043755,1449.16129,14374.58065,Gas,Active,39.57520775,-108.346328,,WATER
WAHA,145,"SALT WATER, ACID GAS,CO2, FRESH WATER",90.00434594,351.3130435,74.22580645,2606.516129,Gas,Active,31.29656589,-103.0954706,,WATER
DONIE,81,SALT WATER,98.49411405,344.4314721,422,2188.806452,Gas,Active,31.38854885,-96.28247216,,WATER
VEGA,366,WATER,95.5027532,343.0328728,1505.580645,23226.64516,Gas,Active,39.23192948,-107.7632604,,WATER
OPELIKA,414,SALT WATER,94.64729078,342.4106412,441.7419355,8096.354839,Gas,Active,32.31173592,-95.70943433,,WATER
ADA,676,"SALT WATER, ",88.823401,342.3997396,443.3225806,16965.35484,Gas,Active,32.57384219,-93.51370379,,WATER
B.M.T.,446,SALT WATER,96.28304478,342.1596715,1902.354839,24194,Gas,Active,27.40672186,-99.15280145,,WATER
DIXIELAND,18,SALT WATER,90.59888579,339.6888889,46.32258065,1479.290323,Gas,Active,31.68091578,-103.7542149,,WATER
UNIVERSITY 31,208,,93.98356745,336.3832599,243.4193548,4926.387097,Gas,Active,30.6737427,-101.4188844,,UNKNOWN
BOILING SPRINGS NORTH,27,"SALT WATER, WATER",0,334.377551,6.322580645,2114.129032,Gas,Active,36.60386213,-99.32332243,,WATER
SOUTHERN ALLIANCE,34,SALT WATER,91.80327869,328.4,1.967741935,52.96774194,Gas,Active,33.14912863,-98.30244606,,WATER
"RANGER,NW",249,SALT WATER,99.88356059,325.8421053,1052.741935,399.4193548,Gas,Active,32.50907265,-98.69853917,,WATER
ROCKWELL,31,"SALT WATER, ",99.46236559,324,24,41.80645161,Gas,Active,32.76981189,-99.47769858,,WATER
WILLOW SLOUGH,93,SALT WATER,99.86998514,323.2857143,347.3548387,146,Gas,Active,29.69437693,-94.44780319,,WATER
DEES,110,SALT WATER,87.28139905,322.3,20.29032258,831.7419355,Gas,Active,33.17378236,-97.98236446,,WATER
SHREIKEY,74,SALT WATER,99.46314268,321.7884615,624.9032258,1079.548387,Gas,Active,35.73623523,-100.5587791,,WATER
DEVILS PLAYGROUND,41,WATER,96.24664879,318.5714286,24.06451613,287.7419355,Gas,Active,40.03015173,-109.2325379,,WATER
SAWYER,7579,"SALT WATER, WATER",90.39991101,317.2295771,2319.870968,70650.09677,Gas,Active,30.59913679,-100.7496747,,WATER
ELLIS,230,SALT WATER,95.52238806,302.6666667,2.161290323,29.29032258,Gas,Active,32.61940876,-95.50101126,,WATER
ALICE,84,,0,299.56,0.806451613,241.5806452,Gas,Active,27.94452758,-98.17648582,,UNKNOWN
GILL RANCH,43,SALT WATER,71.57712305,297.0426829,18.61290323,1571.451613,Gas,Active,35.65419436,-100.5380974,,WATER
BORREGOS,1293,SALT WATER,88.45775495,288.5984848,295.1290323,9830.967742,Gas,Active,27.50167091,-98.00713262,Surfactant,WATER
BELLE BOWER,273,"SALT WATER, SALT WATER,FRAC FLUID",95.02973662,288.042735,75.93548387,1087.129032,Gas,Active,32.08798899,-94.03362065,,WATER
FRANKLIN,140,SALT WATER,82.11382114,286.9545455,3.967741935,203.6451613,Gas,Active,31.32875101,-93.41057547,,WATER
GROUP WEST,53,SALT WATER,94.64285714,286.6666667,1.806451613,27.74193548,Gas,Active,32.19963052,-100.4302654,,WATER
CHURCH BUTTES,290,WATER,70.06175865,269.8991487,329.0645161,26589.41935,Gas,Active,41.43689839,-110.0551083,,WATER
GUYMON-HUGOTON GAS AREA,2131,"SALT WATER, GAS,WATER, WATER",0,268.2404891,142.4516129,38211.29032,Gas,Active,36.75266137,-101.4945978,,WATER
"CAMPANA, S.",218,SALT WATER,98.8590156,267.3984526,5846.677419,17838.06452,Gas,Active,28.08323652,-98.44474701,,WATER
SHACKELFORD NE,169,SALT WATER,99.71554176,266.6818182,249.483871,189.2580645,Gas,Active,32.85296097,-99.2085894,,WATER
"YORKTOWN, S",32,,99.57099957,255.3,225.5806452,247.0645161,Gas,Active,28.97550827,-97.4190744,,UNKNOWN
HARDWOOD,90,SALT WATER,97.42224116,254.2561983,151.4193548,992.4193548,Gas,Active,32.43102803,-94.32982717,,WATER
"RHODE RANCH, EAST",28,SALT WATER,99.66450459,253.7777778,432.6774194,368.3870968,Gas,Active,28.18624544,-98.36174802,,WATER
POK - A - DOT,64,SALT WATER,93.59861592,251.2702703,74.58064516,1199.612903,Gas,Active,27.23773936,-99.1753257,,WATER
MOOREWOOD NE,334,SALT WATER,0,247.9933555,29.12903226,7223.806452,Gas,Active,35.77826764,-99.36232719,,WATER
MARRS MCCLEAN,51,,32.35294118,246.6347826,5.483870968,914.9354839,Gas,Active,29.91863012,-94.2746203,,UNKNOWN
"SPEAKS, S. W.",235,SALT WATER,83.65243004,242.7837838,43.80645161,1738.645161,Gas,Active,29.25431583,-96.78011648,,WATER
MONTE CHRISTO,484,SALT WATER,97.20715835,237.8564494,1665.548387,11064.16129,Gas,Active,26.44860165,-98.3072704,,WATER
RED DESERT,25,WATER,81.16883117,237.6551724,4.967741935,222.3225806,Gas,Active,41.81507109,-108.2034398,,WATER
LENAPAH CBM,100,SALT WATER,0,237,0.419354839,99.38709677,Gas,Active,36.91002915,-95.71349361,,WATER
BOYD,361,SALT WATER,80.27681661,236.4912281,9.322580645,434.8387097,Gas,Active,35.54704341,-98.25017272,,WATER
BLOCK 16,117,SALT WATER,56.4556962,235.0797342,89.19354839,9130.193548,Gas,Active,31.4731659,-103.0637107,,WATER
WALTMAN,193,WATER,87.64539219,232.8105009,432.6451613,12444.09677,Gas,Active,43.07819216,-107.1750623,,WATER
MADISONVILLE,174,SALT WATER,87.5502008,230.9959677,64.25806452,1847.967742,Gas,Active,30.8949042,-96.01304312,,WATER
IVAN E.,17,SALT WATER,99.80827683,229.195122,689.8387097,303.1290323,Gas,Active,32.88341766,-98.68680534,,WATER
SEWELL,43,SALT WATER,97.42388759,227.8181818,13.77419355,80.83870968,Gas,Active,33.08208139,-98.4725952,,WATER
MARTINSVILLE,91,SALT WATER,98.36991312,227.1949509,1410.967742,5225.483871,Gas,Active,31.60774575,-94.41639561,"Immiscible, CO2, Miscible,",WATER
BOONSVILLE,3113,SALT WATER,92.07320118,226.5691339,1292.064516,23205.06452,Gas,Active,33.18275045,-97.71793106,,WATER
HANSFORD,893,"SALT WATER, , FRESH WATER",88.95986189,224.7849883,373.7096774,9274.193548,Gas,Active,36.17468119,-101.1891571,"Gas, Hydrocarbon",WATER
FOUR LAKES,25,WATER,74.43820225,224.4725275,11.48387097,658.9354839,Gas,Active,33.3112227,-103.4592467,,WATER
BRUFF,843,WATER,67.30906495,224.395524,903.8709677,66305.25806,Gas,Active,41.55806278,-110.0573549,,WATER
BEGO,25,SALT WATER,90.21419572,223.832618,76.80645161,1682.354839,Gas,Active,28.7341316,-97.24884369,,WATER
LOVE,49,SALT WATER,96.57831325,223.7253521,133.8709677,1024.806452,Gas,Active,39.0812064,-107.9338201,,WATER
B.R.A.,53,,94.88636364,218.5185185,34.06451613,380.6451613,Gas,Active,32.90750641,-98.30721376,,UNKNOWN
DILL CITY,69,SALT WATER,0,218.3035382,17.32258065,3781.580645,Gas,Active,35.26765121,-99.19516377,,WATER
ELA SUGG,86,,84.3537415,217.9130435,4.741935484,161.6774194,Gas,Active,31.35211403,-101.0930388,,UNKNOWN
HALEY,203,"SALT WATER, WATER",88.56236307,206.839498,427,10101.77419,Gas,Active,32.32903649,-103.2123033,,WATER
LOGAN SOUTH,81,SALT WATER,0,205.5130435,3.709677419,762.3870968,Gas,Active,36.53280579,-100.2445271,,WATER
"NEVA, WEST",69,SALT WATER,83.33333333,205,0.774193548,26.4516129,Gas,Active,31.03640736,-100.5601628,,WATER
BIG MAC,30,WATER,98.10874704,204.17,341.1290323,1317.225806,Gas,Active,30.51528444,-100.5177033,Polymer,WATER
HAYNES,643,SALT WATER,99.09154035,201.6633663,8965.903226,16425.80645,Gas,Active,29.04584065,-97.75711132,,WATER
DOUGLAS CREEK NORTH,65,WATER,59.50920245,200.5,5.258064516,426.8709677,Gas,Active,39.95059997,-108.8035087,Surfactant,WATER
SPANISH CAMP,139,SALT WATER,33.33333333,199.2,0.483870968,64.25806452,Gas,Active,29.39000827,-96.14758965,,WATER
IONA HICKEY,25,SALT WATER,98.65738439,195.5925926,64.87096774,170.3548387,Gas,Active,32.67837642,-98.56856235,,WATER
WILLIAMS,238,,96.79836512,195.4148936,94.70967742,592.5483871,Gas,Active,40.10469463,-93.29021146,,UNKNOWN
BRADY,126,"ACID GAS, WATER, SALT WATER, GAS",99.37460913,195.3555556,928.4516129,1134.322581,Gas,Active,41.86405549,-108.1893212,,WATER
CUTTER,117,SALT WATER,32.47863248,194.6708861,3.774193548,496.0967742,Gas,Active,37.2593562,-101.0353007,,WATER
BLANCONIA,159,,44.44444444,192.6,0.290322581,31.06451613,Gas,Active,28.37845703,-97.4530068,,UNKNOWN
ROCKY,57,SALT WATER,0,192.1377246,5.387096774,1035.064516,Gas,Active,33.3543336,-97.03600776,,WATER
WALSH,148,SALT WATER,73.13432836,192.1111111,2.161290323,111.5483871,Gas,Active,36.84130258,-101.9090279,Surfactant,WATER
STILLMAN,101,SALT WATER,89.46974847,190.3557134,474.516129,9511.645161,Gas,Active,26.69884843,-97.93831088,,WATER
HOSTETTER,106,,93.45794393,190.3181818,75.93548387,945.4516129,Gas,Active,28.0772393,-98.38694403,,UNKNOWN
BRISCOE,48,SALT WATER,92.96218487,188.5671642,30.70967742,407.5483871,Gas,Active,32.43557707,-99.38364586,,WATER
BECKVILLE,557,SALT WATER,97.49707878,188.0521773,3285.193548,15462.74194,Gas,Active,32.2511697,-94.50720478,,WATER
NEELY,45,,76.47058824,184.25,0.548387097,23.77419355,Gas,Active,29.72211741,-98.71987539,,UNKNOWN
